"Timestamp","Meal Type","Gender","Which days do you go to the Cafeteria the most? ","Preferred sessions ","Favorite meal"
"2020/10/01 1:34:13 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Thursday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Porridge yam, plain yam and stew;Semovita, poundo, eba with okra, egusi"
"2020/10/01 1:37:34 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Saturday","Evening","Fried yam with egg sauce, stew;Fried rice;Plain rice with stew, gbadun;Akara with pap, oat, custard"
"2020/10/01 1:47:00 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Fried rice"
"2020/10/01 1:47:53 PM GMT+1","Lunch, Dinner","Female","Monday;Friday","Evening","Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:48:58 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Jellof rice;Porridge yam, plain yam and stew;Semovita, poundo, eba with okra, egusi"
"2020/10/01 1:49:43 PM GMT+1","Lunch, Dinner","Male","Thursday","Evening","Fried rice"
"2020/10/01 1:51:42 PM GMT+1","Lunch, Dinner","Male","Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 1:52:36 PM GMT+1","Lunch, Dinner","Female","Monday;Friday","Evening","Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:53:54 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 1:54:12 PM GMT+1","Lunch, Dinner","Male","Sunday;Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:54:41 PM GMT+1","Lunch, Dinner","Male","Sunday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain spaghetti and stew with boiled egg"
"2020/10/01 1:54:51 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 1:55:40 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:55:50 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Fried rice"
"2020/10/01 1:56:42 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Friday;Saturday","Evening","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 1:56:57 PM GMT+1","Lunch, Dinner","Male","Friday;Saturday","Afternoon","Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:57:25 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 1:57:53 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Wednesday;Friday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Plain rice with stew, gbadun;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:57:56 PM GMT+1","Lunch, Dinner","Male","Sunday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 1:58:02 PM GMT+1","Lunch, Dinner","Female","Monday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice"
"2020/10/01 1:58:02 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Fried potatoes with egg sauce, stew"
"2020/10/01 1:58:18 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Jellof rice"
"2020/10/01 1:58:31 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/01 1:58:59 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 1:59:02 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Wednesday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 1:59:59 PM GMT+1","Lunch, Dinner","Male","Tuesday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:00:50 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:01:30 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Tuesday;Thursday;Friday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/01 2:01:44 PM GMT+1","Lunch, Dinner","Female","Monday;Wednesday;Thursday;Saturday","Evening","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:02:11 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Saturday","Morning","Akara with pap, oat, custard"
"2020/10/01 2:02:24 PM GMT+1","Lunch, Dinner","Female","Tuesday;Thursday;Friday;Saturday","Evening","Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 2:02:31 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Thursday;Friday;Saturday","Evening","Jellof rice"
"2020/10/01 2:03:21 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:03:44 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Monday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Jellof rice;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 2:03:47 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:03:49 PM GMT+1","Lunch, Dinner","Female","Wednesday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/01 2:04:32 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Thursday;Friday;Saturday","Evening","Fried yam with egg sauce, stew;Akara with pap, oat, custard"
"2020/10/01 2:04:47 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Friday","Evening","Jellof spaghetti with boiled egg"
"2020/10/01 2:06:03 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:06:28 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:06:39 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:07:35 PM GMT+1","Lunch, Dinner","Male","Monday;Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:07:37 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:07:45 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:07:46 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 2:08:01 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Tuesday;Thursday;Saturday","Evening","Plain rice with stew, gbadun;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:08:16 PM GMT+1","Lunch, Dinner","Female","Thursday","Evening","Plain rice with stew, gbadun"
"2020/10/01 2:08:48 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:09:31 PM GMT+1","Lunch, Dinner","Female","Sunday","Evening","Fried potatoes with egg sauce, stew;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard"
"2020/10/01 2:09:38 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 2:11:12 PM GMT+1","Lunch, Dinner","Male","Sunday;Thursday;Saturday","Evening","Fried rice;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:12:39 PM GMT+1","Lunch, Dinner","Male","Monday;Saturday","Evening","Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/01 2:13:30 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Fried potatoes with egg sauce, stew"
"2020/10/01 2:14:44 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Jellof rice"
"2020/10/01 2:16:37 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:18:06 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:18:07 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday","Evening","Fried rice"
"2020/10/01 2:18:27 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:18:58 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Wednesday;Friday;Saturday","Morning","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Jellof spaghetti with boiled egg;Akara with pap, oat, custard"
"2020/10/01 2:19:06 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday","Evening","Plain rice with stew, gbadun;Akara with pap, oat, custard"
"2020/10/01 2:19:39 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Saturday","Afternoon","Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:20:27 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Fried rice"
"2020/10/01 2:20:51 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:21:08 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:22:07 PM GMT+1","Lunch, Dinner","Male","Sunday;Tuesday;Wednesday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:23:02 PM GMT+1","Lunch, Dinner","Male","Wednesday","Evening","Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:23:17 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday","Evening","Akara with pap, oat, custard"
"2020/10/01 2:24:33 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Fried rice"
"2020/10/01 2:26:36 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 2:26:55 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 2:28:37 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:29:24 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun"
"2020/10/01 2:30:37 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:30:51 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:32:22 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Akara with pap, oat, custard"
"2020/10/01 2:32:28 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Fried rice"
"2020/10/01 2:33:29 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday","Afternoon","Fried yam with egg sauce, stew"
"2020/10/01 2:33:42 PM GMT+1","Lunch, Dinner","Male","Thursday","Evening","Plain rice with stew, gbadun"
"2020/10/01 2:34:08 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 2:34:19 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Wednesday;Thursday","Afternoon","Fried potatoes with egg sauce, stew;Plain rice with stew, gbadun;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:34:34 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Thursday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 2:34:55 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Thursday","Evening","Fried yam with egg sauce, stew"
"2020/10/01 2:35:19 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Wednesday;Thursday;Friday;Saturday","Evening","Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Akara with pap, oat, custard"
"2020/10/01 2:36:05 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Tuesday;Friday;Saturday","Evening","Plain rice with stew, gbadun;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 2:36:38 PM GMT+1","Lunch, Dinner","Female","Monday;Wednesday;Saturday","Evening","Plain spaghetti and stew with boiled egg"
"2020/10/01 2:37:42 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Jellof rice"
"2020/10/01 2:38:32 PM GMT+1","Lunch, Dinner","Female","Monday","Afternoon","Akara with pap, oat, custard"
"2020/10/01 2:39:36 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/01 2:40:24 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Thursday","Afternoon","Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:42:41 PM GMT+1","Lunch, Dinner","Male","Sunday;Saturday","Afternoon","Jellof rice"
"2020/10/01 2:43:46 PM GMT+1","Lunch, Dinner","Male","Monday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Porridge yam, plain yam and stew;Moi moi with pap, oat, custard"
"2020/10/01 2:44:23 PM GMT+1","Lunch, Dinner","Female","Tuesday;Thursday;Saturday","Evening","Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:44:57 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Plain spaghetti and stew with boiled egg"
"2020/10/01 2:45:51 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:46:13 PM GMT+1","Breakfast, Dinner.","Male","Sunday;Tuesday;Thursday;Saturday","Morning","Akara with pap, oat, custard"
"2020/10/01 2:47:34 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Afternoon","Jellof rice;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:47:47 PM GMT+1","Lunch, Dinner","Female","Sunday;Tuesday;Thursday;Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 2:48:49 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Saturday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 2:49:11 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Plain spaghetti and stew with boiled egg"
"2020/10/01 2:50:47 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:50:59 PM GMT+1","Lunch, Dinner","Female","Tuesday;Wednesday;Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 2:51:19 PM GMT+1","Lunch, Dinner","Female","Thursday;Saturday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 2:52:05 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:53:24 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:55:09 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Tuesday;Thursday;Friday;Saturday","Morning","Jellof rice;Plain rice with stew, gbadun;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 2:57:26 PM GMT+1","Lunch, Dinner","Female","Tuesday;Thursday;Saturday","Evening","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 2:59:46 PM GMT+1","Breakfast, Lunch.","Male","Sunday;Monday;Tuesday;Thursday;Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/01 3:02:48 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Jellof rice"
"2020/10/01 3:03:12 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Porridge beans, plain beans and stew with plantain;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/01 3:03:58 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Thursday;Friday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 3:04:55 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Thursday;Saturday","Evening","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg;Akara with pap, oat, custard"
"2020/10/01 3:06:13 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Jellof rice"
"2020/10/01 3:09:29 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 3:09:42 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Friday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun"
"2020/10/01 3:10:09 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Friday;Saturday","Evening","Plain spaghetti and stew with boiled egg"
"2020/10/01 3:10:31 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Saturday","Evening","Fried potatoes with egg sauce, stew"
"2020/10/01 3:11:30 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried rice;Jellof rice;Jellof spaghetti with boiled egg;Akara with pap, oat, custard"
"2020/10/01 3:11:39 PM GMT+1","Lunch, Dinner","Female","Tuesday;Wednesday;Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 3:12:30 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Saturday","Morning","Moi moi with pap, oat, custard"
"2020/10/01 3:12:46 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 3:15:06 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Moi moi with pap, oat, custard"
"2020/10/01 3:15:40 PM GMT+1","Breakfast, Lunch.","Female","Monday;Tuesday;Thursday;Saturday","Afternoon","Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 3:15:48 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Moi moi with pap, oat, custard"
"2020/10/01 3:15:59 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Monday;Thursday;Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg;Akara with pap, oat, custard"
"2020/10/01 3:16:27 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Thursday;Friday;Saturday","Evening","Fried rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 3:18:32 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Saturday","Afternoon","Fried potatoes with egg sauce, stew"
"2020/10/01 3:18:38 PM GMT+1","Breakfast, Dinner.","Female","Tuesday;Thursday","Morning","Fried yam with egg sauce, stew"
"2020/10/01 3:18:59 PM GMT+1","Lunch, Dinner","Female","Monday;Wednesday;Thursday","Evening","Fried rice;Jellof rice;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 3:20:33 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
